dataset,variant,seed,signal,context_feature,correlation,num_days
nasdaq,full__ne2_init_small_temp05,0,scale_0_weight,market_volatility,-0.46811467538510176,237
nasdaq,full__ne2_init_small_temp05,0,expert_0_weight,market_volatility,-0.30199826028593346,237
nasdaq,full__ne2_init_small_temp05,0,expert_0_weight,pca_ratio,-0.17960295803796816,237
nasdaq,full__ne2_init_small_temp05,0,expert_0_weight,cross_sectional_dispersion,-0.3975257717620923,237
nasdaq,full__ne2_init_small_temp05,0,expert_1_weight,market_volatility,0.30199827698759274,237
nasdaq,full__ne2_init_small_temp05,0,expert_1_weight,pca_ratio,0.1796031267050518,237
nasdaq,full__ne2_init_small_temp05,0,expert_1_weight,cross_sectional_dispersion,0.397525886468581,237
nasdaq,full__ne2_init_small_temp05,1,scale_0_weight,market_volatility,-0.234744194871689,237
nasdaq,full__ne2_init_small_temp05,1,expert_0_weight,market_volatility,0.14681772435078713,237
nasdaq,full__ne2_init_small_temp05,1,expert_0_weight,pca_ratio,-0.08001447503750864,237
nasdaq,full__ne2_init_small_temp05,1,expert_0_weight,cross_sectional_dispersion,0.5573057566259739,237
nasdaq,full__ne2_init_small_temp05,1,expert_1_weight,market_volatility,-0.1468176039789084,237
nasdaq,full__ne2_init_small_temp05,1,expert_1_weight,pca_ratio,0.08001447900592704,237
nasdaq,full__ne2_init_small_temp05,1,expert_1_weight,cross_sectional_dispersion,-0.5573070235274122,237
nasdaq,moe__ne2_init_small_temp05,0,expert_0_weight,market_volatility,-0.6140505008749364,237
nasdaq,moe__ne2_init_small_temp05,0,expert_0_weight,pca_ratio,-0.5016768266560615,237
nasdaq,moe__ne2_init_small_temp05,0,expert_0_weight,cross_sectional_dispersion,-0.05993293128471186,237
nasdaq,moe__ne2_init_small_temp05,0,expert_1_weight,market_volatility,0.6140505314210454,237
nasdaq,moe__ne2_init_small_temp05,0,expert_1_weight,pca_ratio,0.5016769604134014,237
nasdaq,moe__ne2_init_small_temp05,0,expert_1_weight,cross_sectional_dispersion,0.059932925078236526,237
nasdaq,moe__ne2_init_small_temp05,1,expert_0_weight,market_volatility,0.41220390183766065,237
nasdaq,moe__ne2_init_small_temp05,1,expert_0_weight,pca_ratio,0.21456570633909486,237
nasdaq,moe__ne2_init_small_temp05,1,expert_0_weight,cross_sectional_dispersion,0.2272203713037762,237
nasdaq,moe__ne2_init_small_temp05,1,expert_1_weight,market_volatility,-0.41220406673131477,237
nasdaq,moe__ne2_init_small_temp05,1,expert_1_weight,pca_ratio,-0.21456570242742196,237
nasdaq,moe__ne2_init_small_temp05,1,expert_1_weight,cross_sectional_dispersion,-0.22722012202059985,237
