dataset,variant,seed,regime_name,regime_side,IC,RankIC,Precision@10,Sharpe,num_days
nasdaq,static,0,market_volatility,low,0.012160169150232252,0.012793201830887682,0.0470588242932528,-0.43910243672779375,119
nasdaq,static,0,market_volatility,high,0.033064990371805554,0.03248724706472939,0.047457627952098846,2.5087884362413444,118
nasdaq,static,0,pca_ratio,low,0.0096147951820157,0.007952380810958184,0.049579832734180096,-1.098791786571041,119
nasdaq,static,0,pca_ratio,high,0.03563193530585445,0.03736909199160745,0.044915255032858606,3.367362541569938,118
nasdaq,static,0,cross_sectional_dispersion,low,0.01165080660208913,0.011581725760816964,0.048739496712424175,1.9806769772201043,119
nasdaq,static,0,cross_sectional_dispersion,high,0.033578669551712605,0.03370898988115664,0.04576271254632432,0.21652884022642543,118
nasdaq,static,0,market_trend,up_or_flat,0.025366719339847726,0.021949826051778063,0.04173228420375839,1.2813070672647613,127
nasdaq,static,0,market_trend,down,0.01933777851445484,0.02334780239034444,0.053636364503340285,0.7808269990609523,110
nasdaq,static,1,market_volatility,low,0.01962917998453657,0.019276818624959804,0.04789916050283849,-0.4502207267580275,119
nasdaq,static,1,market_volatility,high,0.03235009244790644,0.03073504342800164,0.05677966192617255,1.7904776476013993,118
nasdaq,static,1,pca_ratio,low,0.017345729318228278,0.016202581054902784,0.05126050509074155,-0.6354918739313928,119
nasdaq,static,1,pca_ratio,high,0.03465289439104786,0.033835333858821856,0.05338983136718556,2.091399629939296,118
nasdaq,static,1,cross_sectional_dispersion,low,0.013541597077875406,0.012198172728804982,0.05714285811957191,1.754960574907004,119
nasdaq,static,1,cross_sectional_dispersion,high,0.038489265040217276,0.03787367784870015,0.04745762788895833,-0.22398408576577813,118
nasdaq,static,1,market_trend,up_or_flat,0.02890917468485129,0.02643177373789427,0.04094488255855605,-0.04375644524871001,127
nasdaq,static,1,market_trend,down,0.022561074018515436,0.02330764796510762,0.06545454656535929,1.577892098798393,110
