dataset,variant,seed,regime_name,regime_side,IC,RankIC,Precision@10,Sharpe,num_days
nasdaq,context_only,0,market_volatility,low,0.018101406876239172,0.025786517762447933,0.054621849209070206,-1.0652015750067871,119
nasdaq,context_only,0,market_volatility,high,0.03624693939306426,0.040160168526507715,0.047457627952098846,1.3220529189967156,118
nasdaq,context_only,0,pca_ratio,low,0.015541265837713918,0.022131808289226944,0.05714285746216774,-1.8709096257756836,119
nasdaq,context_only,0,pca_ratio,high,0.03882877654208549,0.04384585011390855,0.04491525515913963,2.193921602005914,118
nasdaq,context_only,0,cross_sectional_dispersion,low,0.014014489728758824,0.01875219873664803,0.05546218529343605,1.3192433176362472,119
nasdaq,context_only,0,cross_sectional_dispersion,high,0.04036849143162495,0.04725410042540762,0.04661016911268234,-0.9069419979843895,118
nasdaq,context_only,0,market_trend,up_or_flat,0.030172311048679727,0.03219187821435291,0.04488188773393631,0.4653360858493373,127
nasdaq,context_only,0,market_trend,down,0.023630206940651988,0.033810245151239954,0.05818181857466698,-0.08769741451729718,110
nasdaq,context_only,1,market_volatility,low,0.014582834285762193,0.021000796771987865,0.06302521377801895,0.9147751091205575,119
nasdaq,context_only,1,market_volatility,high,0.015109469033138909,0.016969921265411095,0.0576271153986454,0.7012868007537841,118
nasdaq,context_only,1,pca_ratio,low,0.01335420077686206,0.022569837358030843,0.06890757381916046,0.8295957251350831,119
nasdaq,context_only,1,pca_ratio,high,0.016348514690419553,0.01538758372524911,0.05169491842389107,0.7703853575283204,118
nasdaq,context_only,1,cross_sectional_dispersion,low,0.001082647313325208,0.0036413640714692687,0.05714285373687744,1.2606659799906832,119
nasdaq,context_only,1,cross_sectional_dispersion,high,0.02872406436974909,0.03447646780237477,0.06355932354927063,0.3905813937481855,118
nasdaq,context_only,1,market_trend,up_or_flat,0.01941559884329849,0.02202931783477387,0.05196850374341011,0.6655290860212514,127
nasdaq,context_only,1,market_trend,down,0.009568123389247127,0.015489292365170762,0.07000000029802322,0.9669418133123573,110
